seed,n_genes,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_roc_auc,best_val_loss,test_size,test_positive_samples,test_negative_samples
0,5,0.9354838709677419,0.9157608695652174,0.875,0.875,0.875,0.9945652173913044,0.2876691808303197,31,8,23
1,5,0.9354838709677419,0.9565217391304348,0.8,1.0,0.8888888888888888,1.0,0.0678635391096274,31,8,23
2,5,1.0,1.0,1.0,1.0,1.0,1.0,0.1031130443016688,31,8,23
3,5,0.967741935483871,0.9782608695652174,0.8888888888888888,1.0,0.9411764705882353,1.0,0.035280558715264004,31,8,23
4,5,0.967741935483871,0.9375,1.0,0.875,0.9333333333333333,1.0,0.1764828066031138,31,8,23
5,5,0.9354838709677419,0.875,1.0,0.75,0.8571428571428571,0.9510869565217391,0.15634812812010448,31,8,23
6,5,0.967741935483871,0.9375,1.0,0.875,0.9333333333333333,0.983695652173913,0.4675834059715271,31,8,23
7,5,0.967741935483871,0.9782608695652174,0.8888888888888888,1.0,0.9411764705882353,0.9945652173913044,0.1894366403420766,31,8,23
8,5,0.9354838709677419,0.9157608695652174,0.875,0.875,0.875,0.9891304347826088,0.5558922529220581,31,8,23
9,5,0.967741935483871,0.9375,1.0,0.875,0.9333333333333333,1.0,0.0381930831198891,31,8,23
0,10,0.967741935483871,0.9782608695652174,0.8888888888888888,1.0,0.9411764705882353,1.0,0.24170296341180803,31,8,23
1,10,0.967741935483871,0.9782608695652174,0.8888888888888888,1.0,0.9411764705882353,1.0,0.00044677216404428083,31,8,23
2,10,1.0,1.0,1.0,1.0,1.0,1.0,0.005903791977713505,31,8,23
3,10,0.967741935483871,0.9782608695652174,0.8888888888888888,1.0,0.9411764705882353,1.0,0.0010924552101641894,31,8,23
4,10,0.967741935483871,0.9375,1.0,0.875,0.9333333333333333,0.9619565217391304,0.020643770213549337,31,8,23
5,10,0.967741935483871,0.9375,1.0,0.875,0.9333333333333333,0.9565217391304348,0.15140063166618348,31,8,23
6,10,0.967741935483871,0.9375,1.0,0.875,0.9333333333333333,1.0,0.3436178962389628,31,8,23
7,10,0.9354838709677419,0.9157608695652174,0.875,0.875,0.875,0.9945652173913044,0.26347078482309977,31,8,23
8,10,0.967741935483871,0.9375,1.0,0.875,0.9333333333333333,0.983695652173913,0.3915212869644165,31,8,23
9,10,0.967741935483871,0.9375,1.0,0.875,0.9333333333333333,1.0,0.0011372310225851833,31,8,23
0,25,1.0,1.0,1.0,1.0,1.0,1.0,0.11891287267208099,31,8,23
1,25,0.967741935483871,0.9782608695652174,0.8888888888888888,1.0,0.9411764705882353,1.0,0.00010481709274851407,31,8,23
2,25,1.0,1.0,1.0,1.0,1.0,1.0,0.002264329418540001,31,8,23
3,25,1.0,1.0,1.0,1.0,1.0,1.0,0.0013007709379356431,31,8,23
4,25,0.967741935483871,0.9375,1.0,0.875,0.9333333333333333,1.0,0.0023000207724786985,31,8,23
5,25,0.9354838709677419,0.9157608695652174,0.875,0.875,0.875,0.9945652173913044,0.012907189844797055,31,8,23
6,25,0.967741935483871,0.9375,1.0,0.875,0.9333333333333333,0.9945652173913044,0.05187318548560142,31,8,23
7,25,1.0,1.0,1.0,1.0,1.0,1.0,0.06141484673134982,31,8,23
8,25,0.967741935483871,0.9375,1.0,0.875,0.9333333333333333,0.9891304347826088,0.22314546306928,31,8,23
9,25,0.967741935483871,0.9375,1.0,0.875,0.9333333333333333,1.0,0.0015118791479229307,31,8,23
0,50,1.0,1.0,1.0,1.0,1.0,1.0,0.15367267082134883,31,8,23
1,50,1.0,1.0,1.0,1.0,1.0,1.0,3.691957851212161e-05,31,8,23
2,50,1.0,1.0,1.0,1.0,1.0,1.0,0.006988624638567368,31,8,23
3,50,1.0,1.0,1.0,1.0,1.0,1.0,0.004477363949020704,31,8,23
4,50,1.0,1.0,1.0,1.0,1.0,1.0,0.0009814797454358389,31,8,23
5,50,0.9354838709677419,0.9157608695652174,0.875,0.875,0.875,0.9945652173913044,0.0018528494363029798,31,8,23
6,50,0.967741935483871,0.9375,1.0,0.875,0.9333333333333333,1.0,0.002286539909740289,31,8,23
7,50,1.0,1.0,1.0,1.0,1.0,1.0,0.0009861108982780328,31,8,23
8,50,0.967741935483871,0.9375,1.0,0.875,0.9333333333333333,1.0,0.1728031317392985,31,8,23
9,50,0.967741935483871,0.9375,1.0,0.875,0.9333333333333333,1.0,0.0016701442471457994,31,8,23
0,100,1.0,1.0,1.0,1.0,1.0,1.0,0.002293163596186787,31,8,23
1,100,1.0,1.0,1.0,1.0,1.0,1.0,0.00037923515192233025,31,8,23
2,100,1.0,1.0,1.0,1.0,1.0,1.0,0.00788072713961204,31,8,23
3,100,1.0,1.0,1.0,1.0,1.0,1.0,0.005607985953489939,31,8,23
4,100,1.0,1.0,1.0,1.0,1.0,1.0,0.0003808325442757147,31,8,23
5,100,1.0,1.0,1.0,1.0,1.0,1.0,0.0004630915160911779,31,8,23
6,100,0.967741935483871,0.9375,1.0,0.875,0.9333333333333333,1.0,0.017382337308178345,31,8,23
7,100,1.0,1.0,1.0,1.0,1.0,1.0,0.000323474391674002,31,8,23
8,100,1.0,1.0,1.0,1.0,1.0,1.0,0.2230109711488088,31,8,23
9,100,1.0,1.0,1.0,1.0,1.0,1.0,0.007381135273802405,31,8,23
0,500,1.0,1.0,1.0,1.0,1.0,1.0,0.00020652530753674606,31,8,23
1,500,1.0,1.0,1.0,1.0,1.0,1.0,0.009441258010550275,31,8,23
2,500,1.0,1.0,1.0,1.0,1.0,1.0,0.013024544032911459,31,8,23
3,500,1.0,1.0,1.0,1.0,1.0,1.0,0.004421917793054794,31,8,23
4,500,1.0,1.0,1.0,1.0,1.0,1.0,3.368722003263732e-05,31,8,23
5,500,1.0,1.0,1.0,1.0,1.0,1.0,0.000342123385053128,31,8,23
6,500,0.967741935483871,0.9375,1.0,0.875,0.9333333333333333,1.0,0.0003370251467761894,31,8,23
7,500,1.0,1.0,1.0,1.0,1.0,1.0,5.962839301597948e-05,31,8,23
8,500,1.0,1.0,1.0,1.0,1.0,1.0,0.12168760690838099,31,8,23
9,500,1.0,1.0,1.0,1.0,1.0,1.0,0.0002660804213519441,31,8,23
