seed,n_genes,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_roc_auc,best_val_loss,test_size,test_positive_samples,test_negative_samples
0,10,0.7962962962962963,0.7889200561009817,0.7727272727272727,0.7391304347826086,0.7555555555555555,0.9102384291725105,0.4862465207223539,54,23,31
1,10,0.8888888888888888,0.8976157082748948,0.8148148148148148,0.9565217391304348,0.88,0.8906030855539971,0.35094979736540055,54,23,31
2,10,0.8888888888888888,0.8920056100981767,0.84,0.9130434782608695,0.875,0.938288920056101,0.3282920784420437,54,23,31
3,10,0.8148148148148148,0.8050490883590462,0.8095238095238095,0.7391304347826086,0.7727272727272727,0.9340813464235624,0.42259414549227114,54,23,31
4,10,0.8333333333333334,0.8267882187938289,0.8181818181818182,0.782608695652174,0.8,0.9102384291725105,0.4111545858559785,54,23,31
5,10,0.7962962962962963,0.7889200561009817,0.7727272727272727,0.7391304347826086,0.7555555555555555,0.9004207573632538,0.38907798131306964,54,23,31
6,10,0.7777777777777778,0.7840112201963534,0.7037037037037037,0.8260869565217391,0.76,0.8611500701262272,0.4836362092583268,54,23,31
7,10,0.7777777777777778,0.7784011220196354,0.72,0.782608695652174,0.75,0.8751753155680224,0.6639760931332906,54,23,31
8,10,0.8518518518518519,0.8541374474053296,0.8,0.8695652173913043,0.8333333333333334,0.9214586255259467,0.38473712735705906,54,23,31
9,10,0.8148148148148148,0.8162692847124824,0.76,0.8260869565217391,0.7916666666666666,0.9004207573632539,0.46502131665194474,54,23,31
10,10,0.6851851851851852,0.7033660589060309,0.59375,0.8260869565217391,0.6909090909090909,0.7882187938288919,0.47297388977474636,54,23,31
11,10,0.8148148148148148,0.8106591865357644,0.782608695652174,0.782608695652174,0.782608695652174,0.876577840112202,0.4779861094775023,54,23,31
12,10,0.8333333333333334,0.8380084151472651,0.7692307692307693,0.8695652173913043,0.8163265306122449,0.9172510518934082,0.40399049939932646,54,23,31
13,10,0.7592592592592593,0.7678821879382889,0.6785714285714286,0.8260869565217391,0.7450980392156863,0.8611500701262272,0.45748522767314204,54,23,31
14,10,0.7777777777777778,0.7840112201963534,0.7037037037037037,0.8260869565217391,0.76,0.8541374474053296,0.6005340174392417,54,23,31
15,10,0.8333333333333334,0.8211781206171107,0.85,0.7391304347826086,0.7906976744186046,0.8934081346423561,0.4684190198227211,54,23,31
16,10,0.7592592592592593,0.773492286115007,0.6666666666666666,0.8695652173913043,0.7547169811320755,0.8723702664796633,0.42834448372876205,54,23,31
17,10,0.7592592592592593,0.7791023842917251,0.65625,0.9130434782608695,0.7636363636363637,0.8569424964936887,0.435336008116051,54,23,31
18,10,0.7777777777777778,0.7784011220196354,0.72,0.782608695652174,0.75,0.9130434782608695,0.5854241649309794,54,23,31
19,10,0.8148148148148148,0.8274894810659186,0.7241379310344828,0.9130434782608695,0.8076923076923077,0.8920056100981767,0.33702527372925367,54,23,31
0,25,0.7962962962962963,0.7889200561009817,0.7727272727272727,0.7391304347826086,0.7555555555555555,0.9340813464235624,0.40963368283377755,54,23,31
1,25,0.8333333333333334,0.8492286115007013,0.7333333333333333,0.9565217391304348,0.8301886792452831,0.9004207573632539,0.40116486615604824,54,23,31
2,25,0.8888888888888888,0.8920056100981767,0.84,0.9130434782608695,0.875,0.9663394109396914,0.34485754039552474,54,23,31
3,25,0.9259259259259259,0.9242636746143057,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9747545582047685,0.42901167273521423,54,23,31
4,25,0.8518518518518519,0.8485273492286115,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.9354838709677419,0.3611464202404022,54,23,31
5,25,0.8333333333333334,0.8267882187938289,0.8181818181818182,0.782608695652174,0.8,0.9340813464235624,0.34940688256864194,54,23,31
6,25,0.8703703703703703,0.8814866760168303,0.7857142857142857,0.9565217391304348,0.8627450980392157,0.9551192145862553,0.4699086679352654,54,23,31
7,25,0.8148148148148148,0.8274894810659186,0.7241379310344828,0.9130434782608695,0.8076923076923077,0.8920056100981767,0.574105092772731,54,23,31
8,25,0.7962962962962963,0.8001402524544179,0.7307692307692307,0.8260869565217391,0.7755102040816326,0.9032258064516129,0.3300599963576705,54,23,31
9,25,0.7962962962962963,0.7833099579242637,0.8,0.6956521739130435,0.7441860465116279,0.8779803646563815,0.40366881092389423,54,23,31
10,25,0.7222222222222222,0.7356241234221599,0.6333333333333333,0.8260869565217391,0.7169811320754716,0.7629733520336606,0.4207453595267402,54,23,31
11,25,0.7592592592592593,0.7566619915848527,0.7083333333333334,0.7391304347826086,0.723404255319149,0.8513323983169705,0.486810306708018,54,23,31
12,25,0.8333333333333334,0.8380084151472651,0.7692307692307693,0.8695652173913043,0.8163265306122449,0.906030855539972,0.39698628032649,54,23,31
13,25,0.7777777777777778,0.7952314165497896,0.6774193548387096,0.9130434782608695,0.7777777777777778,0.8597475455820477,0.35301948918236625,54,23,31
14,25,0.7962962962962963,0.8113604488078541,0.7,0.9130434782608695,0.7924528301886793,0.8695652173913043,0.5739688023372933,54,23,31
15,25,0.8518518518518519,0.8541374474053296,0.8,0.8695652173913043,0.8333333333333334,0.8877980364656382,0.4845676929862411,54,23,31
16,25,0.8148148148148148,0.8218793828892006,0.7407407407407407,0.8695652173913043,0.8,0.8709677419354839,0.3234888867095665,54,23,31
17,25,0.8703703703703703,0.8870967741935484,0.7666666666666667,1.0,0.8679245283018868,0.917251051893408,0.309542132196603,54,23,31
18,25,0.8703703703703703,0.8758765778401122,0.8076923076923077,0.9130434782608695,0.8571428571428571,0.9579242636746143,0.5083162530704781,54,23,31
19,25,0.7962962962962963,0.8001402524544179,0.7307692307692307,0.8260869565217391,0.7755102040816326,0.8681626928471249,0.3319450169801712,54,23,31
0,50,0.8148148148148148,0.8050490883590462,0.8095238095238095,0.7391304347826086,0.7727272727272727,0.9158485273492286,0.3286854166675497,54,23,31
1,50,0.9259259259259259,0.9298737727910238,0.88,0.9565217391304348,0.9166666666666666,0.9467040673211782,0.3179411518353003,54,23,31
2,50,0.9259259259259259,0.9298737727910238,0.88,0.9565217391304348,0.9166666666666666,0.9649368863955119,0.2879769868320889,54,23,31
3,50,0.8703703703703703,0.8758765778401122,0.8076923076923077,0.9130434782608695,0.8571428571428571,0.9747545582047685,0.4176137999252037,54,23,31
4,50,0.8888888888888888,0.8920056100981767,0.84,0.9130434782608695,0.875,0.9649368863955119,0.34518570480523286,54,23,31
5,50,0.9074074074074074,0.9137447405329593,0.8461538461538461,0.9565217391304348,0.8979591836734694,0.9635343618513323,0.2902546694709195,54,23,31
